species,genus,family,species.relative,genus.relative
Acrocomia_aculeata,Acrocomia,Arecaceae,,
Alibertia_edulis,Alibertia,Rubiaceae,,
Apeiba_tibourbou,Apeiba,Malvaceae,,
Aralia_excelsa,Aralia,Araliaceae,,
Bonellia_nervosa,Bonellia,Primulaceae,,
Bromelia_pinguin,Bromelia,Bromeliaceae,,
Bromelia_plumieri,Bromelia,Bromeliaceae,,
Bursera_simaruba,Bursera,Burseraceae,,
Byrsonima_crassifolia,Byrsonima,Malpighiaceae,,
Carica_papaya,Carica,Caricaceae,,
Casearia_arguta,Casearia,Salicaceae,,
Curatella_americana,Curatella,Dilleniaceae,,
Davilla_kunthii,Davilla,Dilleniaceae,,
Diospyros_salicifolia,Diospyros,Ebenaceae,,
Ficus_cotinifolia,Ficus,Moraceae,,
Ficus_hondurensis,Ficus,Moraceae,,
Ficus_morazaniana,Ficus,Moraceae,,
Ficus_obtusifolia,Ficus,Moraceae,,
Ficus_ovalis,Ficus,Moraceae,,
Genipa_americana,Genipa,Rubiaceae,,
Guazuma_ulmifolia,Guazuma,Malvaceae,,
Guettarda_macrosperma,Guettarda,Rubiaceae,,
Hirtella_racemosa,Hirtella,Chrysobalanaceae,,
Karwinskia_calderonii,Karwinskia,Rhamnaceae,,
Maclura_tinctoria,Maclura,Moraceae,,
Malvaviscus_arboreus,Malvaviscus,Malvaceae,,
Psidium_guajava,Psidium,Myrtaceae,,
Quercus_oleoides,Quercus,Fagaceae,,
Randia_monantha,Randia,Rubiaceae,,
Simarouba_glauca,Simarouba,Simaroubaceae,,
Sloanea_terniflora,Sloanea,Elaeocarpaceae,,
Spondias_mombin,Spondias,Anacardiaceae,,
Spondias_purpurea,Spondias,Anacardiaceae,,
Tabernaemontana_odontadeniiflora,Tabernaemontana,Apocynaceae,,
Trichilia_americana,Trichilia,Meliaceae,,
Vachellia_collinsii,Vachellia,Fabaceae,,
Zuelania_guidonia,Zuelania,Salicaceae,,
