UniqueMeasurementID,SampleUniqueID,Date,"DataCollectorName
",Country,StudySiteName,MeanAmbientTemperatureDuringIncubation (°C),MeanAmbientHumidityDuringIncubation (%),ZiplocBagSize,ScaleModel,SampleType,FruitSpeciesName,CommonName,RipenessStage,FruitExteriorCondition,LocationDescription,Handling Classification,NumberFruitsinBag,MeasuredFruitWeight (g for fruit; mL for standards),TotalFruitWeight (g for fruit; mL for standards),HeadspaceInjected (mL),WaterDilutionAmount (mL),IncubationStart,IncubationEnd,IncubationTime (h),BreathalyzerMeasurement,MeasurementRepetition,AmountWholeFruitsFallenOnGround,Comments,PercentEtOHCalculatedfromBreathalyzer
1,1,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Water blank,,,,,,,,5,5,60,,2019-12-15 12:39,2019-12-15 14:42,2:03,0,First,,water blank,0.0000%
2,2,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",0.1,standard,,,,,,,5,5,60,,2019-12-15 12:39,2019-12-15 14:47,2:08,0.035,First,,,0.0585%
3,2,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",0.1,standard,,,,,,,5,5,60,,2019-12-15 12:39,2019-12-15 14:54,2:15,0.04,Repeat1,,,0.0730%
4,4,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",0.5,standard,,,,,,,5,5,60,,2019-12-15 12:39,2019-12-15 15:03,2:24,0.195,First,,,0.5212%
5,5,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",1,standard,,,,,,,5,5,60,,2019-12-15 12:39,2019-12-15 15:06,2:27,0.368,First,,,1.0214%
6,6,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",2,standard,,,,,,,5,5,60,,2019-12-15 12:39,2019-12-15 15:12,2:33,0.701,First,,,1.9844%
7,7,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bonellia nervosa,Siempre viva,ripe,cracked husks only,ground,eaten,,34.23,Unknown,60,0,2019-12-15 12:39,2019-12-15 15:20,2:41,0,First,none,Shells from eaten fruits dropped by monkeys (capuchins) - not much pulp left,0.0000%
10,10,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bromelia plumieri,Piñuela,ripe,intact,plant (collected from feeding site at a bromeliad),other,5,80,80,60,0,2019-12-15 12:39,2019-12-15 15:38,2:59,0,First,n/a,5 intact fruits,0.0000%
11,11,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bonellia nervosa,Siempre viva,ripe,intact,plant,other,5,29.44,29.44,60,0,2019-12-15 12:39,2019-12-15 15:44,3:05,0,First,few,5 fruits collected from tree,0.0000%
12,12,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bonellia nervosa,Siempre viva,ripe,cracked open sample 011,plant,other,5,30.21,30.21,60,0,2019-12-15 15:50,2019-12-15 19:45,3:55,0,First,few,Cracked open the fruits from sample 011 allowed to incubate again,0.0000%
